ORDER_ID,SUBSCRIBER_ID,STATUS_DATE,STATUS_TIME,STATUS
100346,200116,20230222,135857,CREATED
100532,200391,20230223,90148,ASSIGNED
100532,200391,20230223,74715,RETURNED
100532,200391,20230222,95350,CREATED
100335,200322,20230223,90759,ASSIGNED
100335,200322,20230223,23241,RETURNED
100335,200322,20230222,93940,CREATED
100136,200336,20230222,165134,COMPLETED
100136,200336,20230222,151355,RETURNED
100136,200336,20230222,105446,CREATED
100142,200527,20230222,150515,COMPLETED
100142,200527,20230222,94740,CREATED
100279,200509,20230222,123438,COMPLETED
100279,200509,20230222,94201,CREATED
100302,200525,20230223,81426,ASSIGNED
100302,200525,20230223,74734,RETURNED
100302,200525,20230222,95318,CREATED
100322,200532,20230222,205028,CANCELLED
100322,200532,20230222,204518,RETURNED
100322,200532,20230222,135840,CREATED
100375,200532,20230221,214741,CANCELLED
100375,200532,20230221,214643,RETURNED
100375,200532,20230221,164022,CREATED
100111,200456,20230223,92928,ASSIGNED
100111,200456,20230223,92213,RETURNED
100111,200456,20230222,93945,CREATED
100502,200564,20230221,163827,POOL
100502,200564,20230221,163827,CREATED
100512,200182,20230223,90041,ASSIGNED
100512,200182,20230223,74715,RETURNED
100512,200182,20230222,105659,CREATED
100509,200308,20230222,154926,COMPLETED
100509,200308,20230222,101350,RETURNED
100509,200308,20230222,94207,CREATED
100241,200061,20230223,83108,ASSIGNED
100241,200061,20230223,81557,RETURNED
100241,200061,20230222,105727,CREATED
100015,200370,20230222,104122,COMPLETED
100015,200370,20230222,94246,CREATED
100276,200555,20230223,90540,ASSIGNED
100276,200555,20230223,41932,RETURNED
100276,200555,20230222,95126,CREATED
100460,200575,20230222,154908,COMPLETED
100460,200575,20230222,95433,CREATED
100424,200364,20230222,141302,COMPLETED
100424,200364,20230222,94621,CREATED
100556,200091,20230223,83230,ASSIGNED
100556,200091,20230223,74916,RETURNED
100556,200091,20230222,94628,CREATED
100281,200473,20230222,175058,COMPLETED
100281,200473,20230222,151355,RETURNED
